"scientific_name","decimal_latitude","decimal_longitude","where_obtained_coordinates","total_num_specimens"
"Andrena fulvipennis","35.854","-78.743","dataset provided",2
"Andrena gardineri","35.77194","-78.63889","dataset provided",8
"Andrena gardineri","35.772","-78.639","dataset provided",68
"Andrena gardineri","35.781","-78.639","dataset provided",20
"Andrena gardineri","35.79","-78.65","dataset provided",14
"Andrena gardineri","35.82777778","-78.715","dataset provided",1
"Andrena gardineri","35.85361","-78.74306","dataset provided",1
"Andrena gardineri","35.858","-78.752","dataset provided",8
"Andrena gardineri","35.88333333","-78.75","dataset provided",1
"Andrena gardineri","35.9232","-78.4575","dataset provided",1
"Andrena heraclei","35.76666667","-78.63333333","google earth - Raleigh",1
"Andrena hilaris","35.76666667","-78.63333333","google earth",8
"Andrena hilaris","35.7719","-78.6389","dataset provided",1
"Andrena hilaris","35.77194","-78.63889","dataset provided",2
"Andrena hilaris","35.772","-78.639","dataset provided",23
"Andrena hilaris","35.781","-78.639","dataset provided",7
"Andrena hilaris","35.824","-78.687","dataset provided",1
"Andrena hippotes","35.76666667","-78.63333333","google earth - Raleigh",11
"Andrena hippotes","35.77194","-78.63889","dataset provided",3
"Andrena ilicis","35.76666667","-78.63333333","google earth - Raleigh",2
"Andrena ilicis","35.77194","-78.63889","dataset provided",1
"Andrena illini","35.7719","-78.6389","dataset provided",1
"Andrena illini","35.77194","-78.63889","dataset provided",1
"Andrena illini","35.871","-78.763","dataset provided",1
"Andrena imitatrix","35.76666667","-78.63333333","google earth - Raleigh",65
"Andrena imitatrix","35.77194","-78.63889","dataset provided",2
"Andrena imitatrix","35.8","-78.55","google earth - Wake County",1
"Andrena imitatrix","35.82777778","-78.715","dataset provided",1
"Andrena imitatrix","35.83","-78.77722222","dataset provided",1
"Andrena imitatrix","35.83861111","-78.79027778","dataset provided",3
"Andrena imitatrix","35.88333333","-78.75","google earth",1
"Andrena krigiana","35.772","-78.639","dataset provided",2
"Andrena macoupinensis","35.76666667","-78.36666667","google earth",1
"Andrena macoupinensis","35.7719","-78.6389","dataset provided",1
"Andrena macoupinensis","35.77194","-78.63889","dataset provided",6
"Andrena macoupinensis","35.772","-78.639","dataset provided",31
"Andrena macoupinensis","35.77209","-78.63861","dataset provided",1
"Andrena macoupinensis","35.781","-78.639","dataset provided",3
"Andrena macra","35.75","-78.66","dataset provided",1
"Andrena macra","35.772","-78.639","dataset provided",42
"Andrena macra","35.77209","-78.63861","dataset provided",2
"Andrena macra","35.77209854","-78.63860321","dataset provided",1
"Andrena macra","35.781","-78.639","dataset provided",1
"Andrena macra","35.786","-78.669","dataset provided",1
"Andrena macra","35.79","-78.65","dataset provided",6
"Andrena macra","35.85361","-78.74306","dataset provided",1
"Andrena macra","35.85376","-78.74278","dataset provided",1
"Andrena macra","35.858","-78.752","dataset provided",7
"Andrena macra","35.867","-78.648","dataset provided",1
"Andrena macra","35.88305556","-78.76388889","dataset provided",1
"Andrena macra","35.88333333","-78.75","dataset provided",1
"Andrena macra","35.89361111","-78.73083333","dataset provided",1
"Andrena macra","35.926","-78.601","dataset provided",1
"Andrena mariae","35.76666667","-78.63333333","google earth - Raleigh",8
"Andrena mariae","35.77194","-78.63889","dataset provided",6
"Andrena melanochroa","35.772","-78.639","dataset provided",1
"Andrena melanochroa","35.77209","-78.63861","dataset provided",1
"Andrena melanochroa","35.781","-78.639","dataset provided",1
"Andrena mendica","35.6392","-78.8513","dataset provided",1
"Andrena mendica","35.789","-78.67","dataset provided",1
"Andrena mendica","35.8","-78.55","dataset provided",1
"Andrena miserabilis","35.76666667","-78.36666667","google earth",2
"Andrena miserabilis","35.77194","-78.63889","dataset provided",12
"Andrena miserabilis","35.772","-78.639","dataset provided",137
"Andrena miserabilis","35.781","-78.639","dataset provided",58
"Andrena miserabilis","35.79","-78.65","dataset provided",12
"Andrena miserabilis","35.96666667","-78.63333333","google earth - picked a random spot on google earth",3
"Andrena morrisonella","35.76666667","-78.63333333","google earth - Raleigh",1
"Andrena nasonii","35.76666667","-78.63333333","google earth - Raleigh",22
"Andrena nasonii","35.7719","-78.6389","dataset provided",1
"Andrena nasonii","35.77194","-78.63889","dataset provided",2
"Andrena nasonii","35.8","-78.55","google earth - Wake County",5
"Andrena nasonii","35.871","-78.763","dataset provided",2
"Andrena nasonii","35.88333333","-78.75","google earth",2
"Andrena nida","35.77194","-78.63889","dataset provided",4
"Andrena nida","35.772","-78.639","dataset provided",1
"Andrena nida","35.781","-78.639","dataset provided",3
"Andrena nigrae","35.7719","-78.6389","dataset provided",2
"Andrena nigrae","35.77194","-78.63889","dataset provided",1
"Andrena nigrae","35.772","-78.639","dataset provided",15
"Andrena nigrae","35.781","-78.639","dataset provided",2
"Andrena nigrae","35.79","-78.65","dataset provided",2
"Andrena nubecula","35.77194","-78.63889","dataset provided",1
"Andrena nubecula","35.781","-78.639","dataset provided",1
"Andrena nuda","35.76666667","-78.36666667","google earth",1
"Andrena nuda","35.76666667","-78.63333333","google earth - Raleigh",27
"Andrena nuda","35.7719","-78.6389","dataset provided",1
"Andrena nuda","35.77194","-78.63889","dataset provided",3
"Andrena perplexa","35.7502","-78.6605","dataset provided",4
"Andrena perplexa","35.76666667","-78.36666667","google earth",1
"Andrena perplexa","35.76666667","-78.63333333","google earth - Raleigh",81
"Andrena perplexa","35.77194","-78.63889","dataset provided",5
"Andrena perplexa","35.8","-78.55","google earth - Wake County",1
"Andrena perplexa","35.816","-78.642","dataset provided",2
"Andrena perplexa","35.81666667","-78.72083333","dataset provided",1
"Andrena personata","35.748","-78.687","dataset provided",1
"Andrena personata","35.75","-78.66","dataset provided",1
"Andrena personata","35.7502","-78.6605","dataset provided",4
"Andrena personata","35.781","-78.639","dataset provided",2
"Andrena personata","35.79","-78.65","dataset provided",3
"Andrena personata","35.803","-78.684","dataset provided",1
"Andrena personata","35.99388889","-78.7","dataset provided",1
"Andrena robertsonii","35.80546","-78.60966","dataset provided",2
"Andrena rubi","35.81666667","-78.72083333","dataset provided",1
"Andrena rugosa","35.76666667","-78.63333333","google earth - Raleigh",1
"Andrena salictaria","35.77194","-78.63889","dataset provided",5
"Andrena salictaria","35.781","-78.639","dataset provided",4
"Andrena sayi","35.781","-78.639","dataset provided",5
"Andrena sigmundi","35.76666667","-78.63333333","google earth - Raleigh",1
"Andrena sigmundi","35.77194","-78.63889","dataset provided",3
"Andrena simplex","35.772","-78.639","dataset provided",3
"Andrena simplex","35.845","-78.795","dataset provided",1
"Andrena simplex","35.858","-78.752","dataset provided",9
"Andrena spiraeana","35.77194","-78.63889","dataset provided",1
"Andrena spiraeana","35.8","-78.55","google earth - Wake County",1
"Andrena tridens","35.772","-78.639","dataset provided",1
"Andrena vicina","35.772","-78.639","dataset provided",1
"Andrena vicina","35.781","-78.639","dataset provided",1
"Andrena violae","35.76666667","-78.36666667","google earth",1
"Andrena violae","35.772","-78.639","dataset provided",37
"Andrena violae","35.781","-78.639","dataset provided",19
"Andrena virginiana","35.77194","-78.63889","dataset provided",1
"Andrena w-scripta","35.76666667","-78.63333333","google earth - Raleigh",1
