"Andrena cornelli","Andrenidae",,,"1","1",,,,,,,,,,,,,,,,,,,,"1",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena cressonii","Andrenidae","1","1","1","1","1","1","1","1","1",,,"1",,,,,,"1",,"1","1",,,,,,"1",,"1","1","1",,"1",,"1","1","1","1",,,"1",,,,"1",,,"1","1","1","1","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena dunningi","Andrenidae",,,,,,,,,,,,"1",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena erigeniae","Andrenidae",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena erythrogaster","Andrenidae","1",,"1","1","1","1","1",,,,,"1",,,,,,,,,"1",,,,,,"1","1","1","1",,,"1",,,,,,,,"1",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena fenningeri","Andrenidae","1",,,"1","1",,,,,,,"1",,,,,,,,,,,,,,,,,"1",,,,,"1","1",,,"1",,,,,"1",,,,,,,,,"1",,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena forbesii","Andrenidae","1","1","1","1","1","1","1",,"1",,"1","1","1",,,,,,,,,,,,,,"1",,,"1",,"1","1","1","1",,,"1",,,"1",,"1",,"1","1",,,,,"1","1",,"1",,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena fragilis","Andrenidae","1","1","1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,,,,,,"1","1",,"1",,,,,,,"1",,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena fulvipennis","Andrenidae",,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena gardineri","Andrenidae","1","1",,"1",,"1",,,,,"1",,,,,,,,,"1",,,,,,,"1",,,"1",,,,"1",,,,,,,,"1",,"1","1",,,,,,,"1",,,"1","1",,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena heraclei","Andrenidae",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena hilaris","Andrenidae",,"1","1","1",,"1",,,,,"1","1",,,,,,"1",,"1","1",,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena hippotes","Andrenidae","1",,"1",,,"1",,"1",,,,"1",,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena ilicis","Andrenidae",,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"1",,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena illini","Andrenidae",,,,,,,,,,,,"1",,,,,,,,,,,,"1",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena imitatrix","Andrenidae","1","1","1","1","1","1",,"1",,,"1","1","1",,,,,,,,"1",,,,,,,,,"1","1",,,,"1","1","1",,,,"1","1",,,"1","1",,,"1",,,,,,"1","1",,,,"1","1",,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena krigiana","Andrenidae",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena macoupinensis","Andrenidae",,,"1","1","1",,,"1","1",,,"1",,,,,,,,"1","1",,,,,,"1","1","1","1",,"1",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena macra","Andrenidae",,,,"1",,,,,"1",,,"1",,,,,,"1",,,,,,"1",,,,,,"1","1",,"1","1",,,,"1",,,,"1","1",,"1","1",,,,,,"1",,"1","1",,,,,,,,,"1",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena mariae","Andrenidae","1",,,,,,,,,,,"1",,,,,,,,,"1",,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena melanochroa","Andrenidae",,,,,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena mendica","Andrenidae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena miserabilis","Andrenidae","1","1","1","1",,"1",,"1",,,,"1","1",,"1",,,,,,"1",,,,,,"1","1","1","1",,"1","1","1","1","1","1","1",,,"1","1","1",,"1","1",,"1",,,,"1","1",,"1","1",,"1",,,"1",,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena morrisonella","Andrenidae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena nasonii","Andrenidae",,"1","1","1",,,,"1",,,,"1",,,,,,,,,,,,"1",,,"1",,,"1",,,"1","1","1",,,,,,"1",,"1",,"1","1",,,,"1",,,,"1",,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena nida","Andrenidae",,,,"1",,,,,,,,"1",,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena nigrae","Andrenidae",,,"1",,,"1",,,,,,,,,,,,,,,"1",,,,,,"1",,,,"1",,,,,,,,,"1",,,,,"1",,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena nubecula","Andrenidae","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena nuda","Andrenidae","1",,"1","1",,,,"1",,,"1","1",,,,,,,,,,,,,,,"1",,,"1",,,,"1","1",,,,,,,,"1",,,"1",,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena perplexa","Andrenidae","1","1","1","1","1",,,"1","1",,,"1",,,,,,"1",,"1",,"1",,"1",,"1","1",,,,,,"1","1",,"1",,,,,"1","1","1","1","1","1",,"1","1","1","1","1",,"1",,,,,,,"1",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena personata","Andrenidae",,,,,,,,,,,,"1",,,,,,,,,,,,"1",,"1",,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,"1",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena robertsonii","Andrenidae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena rubi","Andrenidae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena rugosa","Andrenidae",,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena salictaria","Andrenidae",,,"1",,,,,,,,,"1",,,,,,,,,,,,,,,"1",,,,"1",,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena sayi","Andrenidae",,,,,,"1",,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena sigmundi","Andrenidae",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena simplex","Andrenidae","1",,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,"1",,,"1","1",,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena spiraeana","Andrenidae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena tridens","Andrenidae",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena vicina","Andrenidae",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena violae","Andrenidae",,"1","1","1",,,,"1",,,,"1",,,,,,,,,"1",,,,,,"1",,"1","1","1",,"1",,"1",,,,,,,"1","1",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
