"scientific_name","family","day","month","year","recorded_by","decimal_latitude","decimal_longitude","where_obtained_coordinates","n"
"Agapostemon virescens","Halictidae","18","5","1922","T.B. Mitchell",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon virescens","Halictidae","18","6","2016","E. Youngsteadt",35.7502,-78.6605,"dataset provided",1
"Agapostemon virescens","Halictidae","18","7","2014","A. Hamblin",35.794,-78.7,"dataset provided",3
"Agapostemon virescens","Halictidae","18","7","2015","E. Youngsteadt",35.7502,-78.6605,"dataset provided",1
"Agapostemon virescens","Halictidae","20","7","2015","A. Hamblin",35.816,-78.642,"dataset provided",1
"Agapostemon virescens","Halictidae","22","7","2015","A. Hamblin",35.848,-78.551,"dataset provided",1
"Agapostemon virescens","Halictidae","22","7","2015","A. Hamblin",35.926,-78.601,"dataset provided",2
"Agapostemon virescens","Halictidae","23","7","2014","A. Hamblin",35.794,-78.7,"dataset provided",2
"Agapostemon virescens","Halictidae","24","7","2015","A. Hamblin",35.748,-78.687,"dataset provided",6
"Agapostemon virescens","Halictidae","24","7","2015","A. Hamblin",35.75,-78.66,"dataset provided",2
"Agapostemon virescens","Halictidae","24","9","2016","E. Youngsteadt",35.7502,-78.6605,"dataset provided",1
"Agapostemon virescens","Halictidae","25","8","2014","A. Hamblin",35.748,-78.687,"dataset provided",2
"Agapostemon virescens","Halictidae","27","6","2016","H. Levenson & assistants",35.725803,-78.675125,"dataset provided",5
"Agapostemon virescens","Halictidae","27","7","2015","A. Hamblin",35.812,-78.714,"dataset provided",1
"Agapostemon virescens","Halictidae","27","9","1929","C.S. Brimley",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon virescens","Halictidae","28","6","2017","H. Levenson & assistants",35.725803,-78.675125,"dataset provided",5
"Agapostemon virescens","Halictidae","28","7","2017","H. Levenson & assistants",35.725803,-78.675125,"dataset provided",10
"Agapostemon virescens","Halictidae","29","6","2015","A. Hamblin",35.797,-78.634,"dataset provided",1
"Agapostemon virescens","Halictidae","3","7","2015","A. Hamblin",35.794,-78.7,"dataset provided",1
"Agapostemon virescens","Halictidae","3","8","2016","B. Webster",35.789845,-78.65063,"dataset provided",1
"Agapostemon virescens","Halictidae","30","6","2015","A. Hamblin",35.927,-78.564,"dataset provided",1
"Agapostemon virescens","Halictidae","30","8","2017","H. Levenson & assistants",35.725803,-78.675125,"dataset provided",4
"Agapostemon virescens","Halictidae","4","7","2018","W. Savage",35.76813889,-78.66288757,"dataset provided",1
"Agapostemon virescens","Halictidae","5","8","2014","A. Hamblin",35.748,-78.687,"dataset provided",6
"Agapostemon virescens","Halictidae","5","8","2014","A. Hamblin",35.75,-78.66,"dataset provided",1
"Agapostemon virescens","Halictidae","7","6","2015","M. Tschopp",35.789845,-78.65063,"dataset provided",1
"Agapostemon virescens","Halictidae","7","9","1993","J.R. Ryan",35.78333333,-78.68333333,"google earth - 440 Gorman St",1
"Agapostemon virescens","Halictidae","8","7","2015","A. Hamblin",35.794,-78.7,"dataset provided",1
"Agapostemon virescens","Halictidae","9","7","2014","A. Hamblin",35.926,-78.601,"dataset provided",1
"Agapostemon virescens","Halictidae","9","8","2016","H. Levenson & assistants",35.725803,-78.675125,"dataset provided",1
"Andrena aliciae","Andrenidae","19","3","1921","T.B. Mitchell",35.772,-78.639,"dataset provided",1
"Andrena andrenoides","Andrenidae","11","3","1921","C.S. Brimley",35.781,-78.639,"dataset provided",8
"Andrena andrenoides","Andrenidae","15","3","1945","T.B. Mitchell",35.781,-78.639,"dataset provided",1
"Andrena andrenoides","Andrenidae","3","5","1924","T.B. Mitchell",35.77194,-78.63889,"dataset provided",1
"Andrena andrenoides","Andrenidae","30","3","1928","C.S. Brimley",35.781,-78.639,"dataset provided",3
"Andrena andrenoides","Andrenidae","5","4","1924","T.B. Mitchell",35.772,-78.639,"dataset provided",1
"Andrena andrenoides","Andrenidae","6","4","1923","T.B. Mitchell",35.781,-78.639,"dataset provided",1
"Andrena andrenoides","Andrenidae","6","4","1929","T.B. Mitchell",35.781,-78.639,"dataset provided",3
"Andrena andrenoides","Andrenidae","8","5","1925","T.B. Mitchell",35.781,-78.639,"dataset provided",1
"Andrena andrenoides","Andrenidae","9","4","1926",,35.77194,-78.63889,"dataset provided",1
"Andrena arabis","Andrenidae","15","3","1945","T.B. Mitchell",35.781,-78.639,"dataset provided",1
"Andrena arabis","Andrenidae","27","3","1945","T.B. Mitchell",35.781,-78.639,"dataset provided",1
"Andrena asteris","Andrenidae","1","10","1921",,35.77194,-78.63889,"dataset provided",1
"Andrena asteris","Andrenidae","11","10","1944","T.B. Mitchell",35.772,-78.639,"dataset provided",2
