"collection_code","catalog_number","data_source","location_data_pulled_from","availability_notes","collection_url","SCAN_catalogNumber","date_data_pulled"
"NCSU","12448","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12448",
"NCSU","12449","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12449",
"NCSU","12450","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12450",
"NCSU","12468","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12468",
"NCSU","12032","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12032",
"NCSU","12033","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12033",
"NCSU","12034","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12034",
"NCSU","12035","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12035",
"NCSU","12036","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12036",
"NCSU","12037","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12037",
"NCSU","12038","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12038",
"NCSU","12039","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12039",
"NCSU","12040","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12040",
"NCSU","12041","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12041",
"NCSU","12042","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12042",
"NCSU","12043","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12043",
"NCSU","12044","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12044",
"NCSU","12045","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12045",
"NCSU","12046","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12046",
"NCSU","12047","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12047",
"NCSU","12048","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12048",
"NCSU","12049","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12049",
"NCSU","12050","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12050",
"NCSU","12067","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12067",
"NCSU","12068","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12068",
"NCSU","12082","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12082",
"NCSU","12083","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 12083",
"NCSU","29139","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29139",
"NCSU","29153","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29153",
"NCSU","29180","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29180",
"NCSU","29188","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29188",
"NCSU","30099","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 30099",
